CHRONIC CONDITIONS,ICD-Code,ICD-Code Description
Asthma,J45.0,Predominantly allergic asthma
Asthma,J45.1,Nonallergic asthma
Asthma,J45.8,Mixed asthma
Asthma,J45.9,"Asthma, unspecified"
Asthma,J46,Status asthmaticus
Chronic Renal Disease,I12.0,Hypertensive renal disease with renal failure
Chronic Renal Disease,I13.1,Hypertensive heart and renal disease with renal failure
Chronic Renal Disease,I13.2,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
Chronic Renal Disease,N03.0,"Chronic nephritic syndrome, minor glomerular abnormality"
Chronic Renal Disease,N03.1,"Chronic nephritic syndrome, focal and segmental glomerular lesions"
Chronic Renal Disease,N03.2,"Chronic nephritic syndrome, diffuse membranous glomerulonephritis"
Chronic Renal Disease,N03.3,"Chronic nephritic syndrome, diffuse mesangial proliferative glomerulonephritis"
Chronic Renal Disease,N03.4,"Chronic nephritic syndrome, diffuse endocapillary proliferative glomerulonephritis"
Chronic Renal Disease,N03.5,"Chronic nephritic syndrome, diffuse mesangiocapillary glomerulonephritis"
Chronic Renal Disease,N03.6,"Chronic nephritic syndrome, dense deposit disease"
Chronic Renal Disease,N03.7,"Chronic nephritic syndrome, diffuse crescentic glomerulonephritis"
Chronic Renal Disease,N03.8,"Chronic nephritic syndrome, other"
Chronic Renal Disease,N03.9,"Chronic nephritic syndrome, unspecified"
Chronic Renal Disease,N11.0,Nonobstructive reflux-associated chronic pyelonephritis
Chronic Renal Disease,N11.1,Chronic obstructive pyelonephritis
Chronic Renal Disease,N11.8,Other chronic tubulo-interstitial nephritis
Chronic Renal Disease,N11.9,"Chronic tubulo-interstitial nephritis, unspecified"
Chronic Renal Disease,N18.0,End-stage renal disease
Chronic Renal Disease,N18.1,"Chronic kidney disease, stage 1"
Chronic Renal Disease,N18.2,"Chronic kidney disease, stage 2"
Chronic Renal Disease,N18.3,"Chronic kidney disease, stage 3"
Chronic Renal Disease,N18.4,"Chronic kidney disease, stage 4"
Chronic Renal Disease,N18.5,"Chronic kidney disease, stage 5"
Chronic Renal Disease,N18.8,Other chronic renal failure
Chronic Renal Disease,N18.8+I32.8*,Other chronic renal failure / Pericarditis in other diseases classified elsewhere
Chronic Renal Disease,N18.9,"Chronic renal failure, unspecified"
Chronic Renal Disease,N25.0,Renal osteodystrophy
Chronic Renal Disease,O10.3,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium"
Chronic Renal Disease,O10.2,"Pre-existing hypertensive renal disease complicating pregnancy, childbirth and the puerperium"
Haemophilia,D66,Hereditary factor VIII deficiency
Haemophilia,D67,Hereditary factor IX deficiency
Hyperlipidaemia,E78.0,Pure hypercholesterolaemia
Hyperlipidaemia,E78.1,Pure hyperglyceridaemia
Hyperlipidaemia,E78.2,Mixed hyperlipidaemia
Hyperlipidaemia,E78.3,Hyperchylomicronaemia
Hyperlipidaemia,E78.4,Other hyperlipidaemia
Hyperlipidaemia,E78.5,"Hyperlipidaemia, unspecified"
Cardiomyopathy,I25.5,Ischaemic cardiomyopathy
Cardiomyopathy,I42.0,Dilated cardiomyopathy
Cardiomyopathy,I42.1,Obstructive hypertrophic cardiomyopathy
Cardiomyopathy,I42.2,Other hypertrophic cardiomyopathy
Cardiomyopathy,I42.3,Endomyocardial (eosinophilic) disease
Cardiomyopathy,I42.4,Endocardial fibroelastosis
Cardiomyopathy,I42.5,Other restrictive cardiomyopathy
Cardiomyopathy,I42.6,Alcoholic cardiomyopathy
Cardiomyopathy,I42.7,Cardiomyopathy due to drugs and other external agents
Cardiomyopathy,I42.8,Other cardiomyopathies
